"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6587","test","dashboard","Sat Jan 04 20:02:15 IST 2025","passed","Sat Jan 04 20:02:21 IST 2025","","tests\Seller-App\dashboard\admin-dashboard.spec.ts","",""
"","14188","test","login","Sat Jan 04 20:01:34 IST 2025","passed","Sat Jan 04 20:01:48 IST 2025","","tests\Seller-App\login\branch-login.spec.ts","",""
"","9824","test","login","Sat Jan 04 20:01:34 IST 2025","passed","Sat Jan 04 20:01:44 IST 2025","","tests\Seller-App\login\admin-login.spec.ts","",""
"","2593","test","login","Sat Jan 04 20:01:53 IST 2025","passed","Sat Jan 04 20:01:56 IST 2025","","tests\Seller-App\login\invalid-login.spec.ts","",""
"","30488","test","login","Sat Jan 04 20:02:32 IST 2025","broken","Sat Jan 04 20:03:03 IST 2025","","tests\Seller-App\login\resend-otp.spec.ts","",""
"","8775","test","login","Sat Jan 04 20:01:44 IST 2025","passed","Sat Jan 04 20:01:53 IST 2025","","tests\Seller-App\login\change-login.spec.ts","",""
"","9485","test","dashboard","Sat Jan 04 20:02:40 IST 2025","passed","Sat Jan 04 20:02:50 IST 2025","","tests\Seller-App\dashboard\partner-dashboard.spec.ts","",""
"","9716","test","dashboard","Sat Jan 04 20:02:30 IST 2025","passed","Sat Jan 04 20:02:40 IST 2025","","tests\Seller-App\dashboard\company-dashboard.spec.ts","",""
"","8152","test","login","Sat Jan 04 20:01:49 IST 2025","passed","Sat Jan 04 20:01:57 IST 2025","","tests\Seller-App\login\company-login.spec.ts","",""
"","9507","test","dashboard","Sat Jan 04 20:02:50 IST 2025","passed","Sat Jan 04 20:02:59 IST 2025","","tests\Seller-App\dashboard\seller-dashboard.spec.ts","",""
"","4028","test","login","Sat Jan 04 20:01:56 IST 2025","passed","Sat Jan 04 20:02:00 IST 2025","","tests\Seller-App\login\invalid-otp.spec.ts","",""
"","9070","test","dashboard","Sat Jan 04 20:02:21 IST 2025","passed","Sat Jan 04 20:02:30 IST 2025","","tests\Seller-App\dashboard\branch-dashboard.spec.ts","",""
"","8804","test","login","Sat Jan 04 20:01:57 IST 2025","passed","Sat Jan 04 20:02:06 IST 2025","","tests\Seller-App\login\partner-login.spec.ts","",""
"","7611","test","login","Sat Jan 04 20:02:06 IST 2025","passed","Sat Jan 04 20:02:13 IST 2025","","tests\Seller-App\login\seller-login.spec.ts","",""
